GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.017G087600	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.015G090600	Low Expression	Low Expression	cell division cycle 45
Potri.019G060900	Medium Expression	NA	zinc ion binding;DNA binding;helicases;ATP binding;nucleic acid binding
Potri.005G170400	NA	Low Expression	unknown
Potri.006G081200	NA	Medium Expression	leucine-rich repeat/extensin 2
Potri.014G051900	NA	Medium Expression	Cox19 family protein (CHCH motif)
Potri.002G195800	Medium Expression	NA	TRICHOME BIREFRINGENCE-LIKE 6
Potri.013G136800	Low Expression	NA	photosynthetic electron transfer D
Potri.004G004500	Not Expressed	NA	unknown
Potri.008G040000	Low Expression	Not Expressed	alpha/beta-Hydrolases superfamily protein
Potri.008G039900	Low Expression	Low Expression	Expressed protein
Potri.006G151100	Low Expression	NA	unknown
Potri.010G030200	NA	Medium Expression	CBS domain-containing protein with a domain of unknown function (DUF21)
Potri.008G045400	Medium Expression	NA	binding;RNA binding
Potri.004G058700	Medium Expression	Medium Expression	transcriptional regulator family protein
Potri.004G151800	NA	Low Expression	cytochrome P450, family 702, subfamily A, polypeptide 3
Potri.017G098700	Medium Expression	NA	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
Potri.019G031400	Medium Expression	NA	NAC domain containing protein 47
Potri.013G022100	NA	Medium Expression	lipoxygenase 1
Potri.T003100	Medium Expression	Medium Expression	phosphatidylinositol-4-phosphate 5-kinase 1
Potri.015G052500	NA	Not Expressed	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Potri.T041200	Medium Expression	Low Expression	unknown
Potri.008G193400	Low Expression	NA	zinc finger protein 5
Potri.002G211400	Not Expressed	NA	unknown
Potri.T017400	NA	Not Expressed	unknown
Potri.018G075900	High Expression	NA	Leucine-rich repeat (LRR) family protein
Potri.018G085000	NA	Medium Expression	RING/U-box superfamily protein
Potri.017G102700	NA	High Expression	cAMP-regulated phosphoprotein 19-related protein
Potri.005G150400	NA	Low Expression	oligopeptide transporter 4
Potri.015G134100	Medium Expression	NA	Protein kinase superfamily protein
Potri.014G191100	High Expression	NA	unknown
Potri.018G058300	High Expression	NA	unknown
Potri.017G092600	NA	Medium Expression	PHD finger family protein
Potri.013G142500	Not Expressed	NA	unknown
Potri.001G403700	Medium Expression	NA	COP1-interacting protein 7
Potri.015G040900	Medium Expression	Medium Expression	unknown
Potri.008G223400	Not Expressed	NA	unknown
Potri.012G007100	High Expression	NA	unknown
Potri.005G049500	NA	Medium Expression	unknown
Potri.006G152000	Medium Expression	NA	Protein kinase superfamily protein
Potri.009G021400	Not Expressed	Not Expressed	HSP20-like chaperones superfamily protein
Potri.007G092800	Medium Expression	NA	Nucleotide-sugar transporter family protein
Potri.T005900	Not Expressed	Not Expressed	unknown
Potri.017G102500	NA	Low Expression	alpha/beta-Hydrolases superfamily protein
Potri.014G195400	Not Expressed	Not Expressed	unknown
Potri.011G055500	Medium Expression	NA	TCP family transcription factor
Potri.013G009600	High Expression	High Expression	unknown
Potri.018G063700	High Expression	NA	Phosphoinositide phosphatase family protein
Potri.002G074800	NA	Medium Expression	ACT domain repeat 3
Potri.006G072000	NA	Medium Expression	Eukaryotic protein of unknown function (DUF872)
Potri.001G075600	High Expression	High Expression	VACUOLAR SORTING RECEPTOR 6
Potri.019G133900	NA	Not Expressed	vacuolar ATP synthase G3
Potri.011G043400	Medium Expression	NA	unknown
Potri.019G124100	Medium Expression	NA	prenylated RAB acceptor 1.B4
Potri.001G190200	NA	High Expression	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein
Potri.004G127600	Not Expressed	NA	Photosystem I, PsaA/PsaB protein
Potri.012G047200	Medium Expression	NA	Auxin efflux carrier family protein
Potri.012G132300	Not Expressed	NA	Protein kinase superfamily protein
Potri.018G019600	NA	Low Expression	Actin-binding FH2 (Formin Homology) protein
Potri.011G046900	High Expression	High Expression	disease resistance protein (TIR class), putative
Potri.012G092000	Medium Expression	Medium Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.011G074000	Not Expressed	Not Expressed	unknown
Potri.017G069200	NA	Medium Expression	unknown
Potri.008G208000	Medium Expression	Medium Expression	UDP-xylosyltransferase 2
Potri.006G063000	High Expression	High Expression	Inorganic H pyrophosphatase family protein
Potri.017G076400	NA	High Expression	Phosphoglycerate mutase-like family protein
Potri.005G167900	High Expression	NA	Pollen Ole e 1 allergen and extensin family protein
Potri.014G034100	Medium Expression	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.003G031100	Medium Expression	NA	MUTM homolog-1
Potri.003G033000	NA	Not Expressed	Integrase-type DNA-binding superfamily protein
Potri.015G094100	High Expression	NA	AAA-type ATPase family protein
Potri.001G416600	NA	High Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.006G227600	NA	Medium Expression	unknown
Potri.019G042700	NA	Medium Expression	unknown
Potri.002G177500	Medium Expression	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.015G026500	Low Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.001G411800	NA	High Expression	Calcium-binding EF-hand family protein
Potri.014G136400	NA	High Expression	receptor-like kinase in in flowers 3
Potri.005G025000	Not Expressed	Not Expressed	SGNH hydrolase-type esterase superfamily protein
Potri.T098200	Medium Expression	NA	lectin protein kinase family protein
Potri.009G005000	Not Expressed	NA	photosynthetic electron transfer B
Potri.003G054800	Medium Expression	NA	unknown
Potri.008G226500	NA	High Expression	translationally controlled tumor protein
Potri.017G090800	NA	High Expression	galacturonosyltransferase 14
Potri.018G066400	Medium Expression	NA	cytidine deaminase 1
Potri.001G342300	Medium Expression	Medium Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.015G038700	High Expression	NA	Auxin efflux carrier family protein
Potri.018G129800	Low Expression	NA	plant-specific transcription factor YABBY family protein
Potri.018G076600	Low Expression	NA	ATP binding
Potri.003G113900	NA	High Expression	receptor serine/threonine kinase, putative
Potri.019G087000	NA	High Expression	FORMS APLOID AND BINUCLEATE CELLS 1A
Potri.013G004100	High Expression	NA	S-adenosylmethionine synthetase family protein
Potri.014G088400	NA	High Expression	UDP-Glycosyltransferase superfamily protein
Potri.T012300	Medium Expression	NA	unknown
Potri.016G057300	NA	Medium Expression	UDP-Glycosyltransferase superfamily protein
Potri.012G044900	High Expression	NA	jasmonate-zim-domain protein 3
Potri.013G074300	Low Expression	Low Expression	HXXXD-type acyl-transferase family protein
Potri.005G039700	NA	Not Expressed	unknown
Potri.019G126700	Not Expressed	Not Expressed	Major facilitator superfamily protein
Potri.011G139900	Medium Expression	NA	endoplasmic reticulum oxidoreductins 1
Potri.001G140500	High Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.014G043400	Not Expressed	Not Expressed	Phosphatidylinositol N-acetylglucosaminyltransferase, GPI19/PIG-P subunit
Potri.018G074500	NA	Medium Expression	pleiotropic drug resistance 4
Potri.011G072300	NA	Medium Expression	receptor-like kinase in flowers 1
Potri.014G074200	High Expression	NA	AGAMOUS-like 20
Potri.006G022100	High Expression	NA	heat shock protein 70 (Hsp 70) family protein
Potri.017G044600	Medium Expression	Medium Expression	Chaperone DnaJ-domain superfamily protein
Potri.001G394600	High Expression	Medium Expression	ubiquitin-specific protease 25
Potri.010G065300	Not Expressed	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.012G013900	NA	Medium Expression	SET domain group 29
Potri.011G022600	Medium Expression	NA	Ubiquitin-specific protease family C19-related protein
Potri.015G070200	Low Expression	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.015G112700	NA	High Expression	Root hair defective 3 GTP-binding protein (RHD3)
Potri.019G078700	Medium Expression	Medium Expression	MUTL-homologue 1
Potri.012G020200	Not Expressed	NA	GRAS family transcription factor
Potri.006G064200	High Expression	NA	calmodulin-binding receptor-like cytoplasmic kinase 3
Potri.018G114500	High Expression	High Expression	RING/U-box superfamily protein
Potri.001G406000	NA	Medium Expression	NB-ARC domain-containing disease resistance protein
Potri.017G145800	Not Expressed	Not Expressed	root hair specific 13
Potri.013G141200	Not Expressed	Not Expressed	unknown
Potri.019G048700	High Expression	High Expression	TLC ATP/ADP transporter
Potri.005G219100	High Expression	NA	PRA1 (Prenylated rab acceptor) family protein
Potri.001G422500	Medium Expression	NA	cytochrome P450, family 716, subfamily A, polypeptide 2
Potri.001G127300	High Expression	NA	RHO guanyl-nucleotide exchange factor 14
Potri.010G025400	NA	Not Expressed	UDP-xylosyltransferase 2
Potri.012G092800	Medium Expression	NA	radical SAM domain-containing protein / GCN5-related N-acetyltransferase (GNAT) family protein
Potri.007G077700	Low Expression	Low Expression	unknown
Potri.011G155700	NA	Medium Expression	Small nuclear ribonucleoprotein family protein
Potri.008G206300	Medium Expression	NA	MuDR family transposase
Potri.019G020900	NA	High Expression	Homeodomain-like superfamily protein
Potri.014G065400	Low Expression	NA	unknown
Potri.008G220300	NA	Not Expressed	unknown
Potri.017G041100	High Expression	High Expression	SET domain protein 2
Potri.013G138900	Not Expressed	Low Expression	ribosomal protein S7
Potri.004G133400	Not Expressed	NA	inositol transporter 2
Potri.006G116000	High Expression	NA	demeter-like 1
Potri.011G120100	Medium Expression	NA	Nucleotide-diphospho-sugar transferases superfamily protein
Potri.007G035200	High Expression	NA	extra-large G-protein 1
Potri.018G075500	High Expression	NA	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Potri.004G228600	High Expression	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.005G078800	NA	Low Expression	DNAJ-like 20
Potri.019G047200	NA	Medium Expression	Inositol 1,3,4-trisphosphate 5/6-kinase family protein
Potri.018G146000	Low Expression	NA	RNA helicase, ATP-dependent, SK12/DOB1 protein
Potri.018G148100	Low Expression	NA	transducin family protein / WD-40 repeat family protein
Potri.014G037900	NA	Medium Expression	cytochrome P450, family 82, subfamily C, polypeptide 4
Potri.013G139200	Not Expressed	Low Expression	unknown
Potri.011G045300	NA	High Expression	Protein of unknown function (DUF707)
Potri.013G035100	NA	Medium Expression	ARM repeat superfamily protein
Potri.003G022600	Low Expression	Not Expressed	telomerase reverse transcriptase
Potri.014G067300	High Expression	NA	methionine aminopeptidase 1A
Potri.003G140200	Low Expression	NA	unknown
Potri.007G115500	High Expression	NA	cytochrome P450, family 81, subfamily D, polypeptide 8
Potri.019G063500	NA	Low Expression	MATE efflux family protein
Potri.018G020200	NA	Medium Expression	TBP-associated factor 5
Potri.T041900	Low Expression	Low Expression	Leucine-rich repeat receptor-like protein kinase family protein
Potri.014G164700	NA	High Expression	histidine kinase 2
Potri.012G042500	Medium Expression	NA	extra-large GTP-binding protein 3
Potri.013G141700	Not Expressed	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.005G162400	High Expression	NA	general regulatory factor 2
Potri.002G231700	NA	Medium Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.011G024000	NA	High Expression	guanyl-nucleotide exchange factors;GTPase binding;GTP binding
Potri.005G210600	NA	High Expression	splicing factor Prp18 family protein
Potri.003G024000	NA	Medium Expression	P-type ATP-ase 1
Potri.006G195200	NA	Medium Expression	unknown
Potri.T106300	Medium Expression	NA	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain
Potri.019G068200	Medium Expression	NA	disease resistance protein (TIR-NBS-LRR class), putative
Potri.011G145800	Low Expression	NA	FAR1-related sequence 5
Potri.011G093500	Medium Expression	Low Expression	FASCICLIN-like arabinogalactan 1
Potri.004G119700	Medium Expression	NA	UDP-Glycosyltransferase superfamily protein
Potri.015G064600	NA	High Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.002G141300	High Expression	High Expression	histone mono-ubiquitination 1
Potri.004G122000	Low Expression	Low Expression	RING/U-box superfamily protein
Potri.009G131800	Low Expression	NA	Chaperone DnaJ-domain superfamily protein
Potri.004G134500	High Expression	NA	Transmembrane CLPTM1 family protein
Potri.018G029400	NA	High Expression	cellulose synthase 1
Potri.018G057700	NA	Medium Expression	ataurora1
Potri.013G141400	NA	Not Expressed	photosystem II reaction center protein G
Potri.003G021700	Medium Expression	NA	homolog of separase
Potri.005G046500	High Expression	NA	Transducin/WD40 repeat-like superfamily protein
Potri.002G118300	High Expression	Medium Expression	ZCW7
Potri.014G149600	NA	High Expression	ARM repeat superfamily protein
Potri.003G085000	Low Expression	NA	Histone H3 K4-specific methyltransferase SET7/9 family protein
Potri.008G185400	Medium Expression	NA	eukaryotic translation initiation factor 4B1
Potri.012G090700	Medium Expression	NA	unknown
Potri.001G110700	High Expression	NA	C-repeat-binding factor 4
Potri.008G077300	Medium Expression	Medium Expression	UDP-galactose transporter 6
Potri.015G056400	High Expression	NA	unknown
Potri.008G192600	High Expression	NA	glucosyl transferase family 8
Potri.004G072100	NA	Medium Expression	Tic22-like family protein
Potri.002G237300	NA	Not Expressed	photosystem II reaction center protein L
Potri.019G024800	Not Expressed	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
Potri.003G066200	Medium Expression	NA	ARM repeat superfamily protein
Potri.018G072600	High Expression	High Expression	DNAJ heat shock N-terminal domain-containing protein
Potri.009G050200	Medium Expression	NA	Heat shock protein DnaJ with tetratricopeptide repeat
Potri.001G218700	High Expression	NA	Ribosomal protein S11 family protein
Potri.005G086300	Not Expressed	NA	unknown
Potri.003G197400	Low Expression	NA	Major facilitator superfamily protein
Potri.019G118400	Medium Expression	NA	Major facilitator superfamily protein
Potri.013G139800	Medium Expression	Medium Expression	unknown
Potri.018G065200	Low Expression	NA	photosystem II subunit X
Potri.014G036200	NA	Low Expression	Major facilitator superfamily protein
Potri.014G165700	Not Expressed	Not Expressed	F-box family protein
Potri.013G085500	NA	Medium Expression	Protein phosphatase 2C family protein
Potri.008G062300	Medium Expression	NA	HSP20-like chaperones superfamily protein
Potri.014G070600	High Expression	NA	SEC7-like guanine nucleotide exchange family protein
Potri.018G006100	High Expression	NA	COP9 signalosome 5A
Potri.002G135600	High Expression	High Expression	mitochondrial acyl carrier protein 1
Potri.015G093600	Medium Expression	Low Expression	RNA-metabolising metallo-beta-lactamase family protein
Potri.017G092100	NA	Low Expression	TPX2 (targeting protein for Xklp2) protein family
Potri.011G001100	NA	Low Expression	pentatricopeptide repeat 336
Potri.012G097900	Low Expression	NA	unknown
Potri.005G083200	Medium Expression	NA	ABC2 homolog 13
Potri.018G079300	High Expression	NA	RAB homolog 1
Potri.008G031100	Not Expressed	NA	unknown
Potri.011G066900	Medium Expression	NA	xylem bark cysteine peptidase 3
Potri.006G203300	Medium Expression	NA	NC domain-containing protein-related
Potri.013G139600	Not Expressed	NA	NAD(P)H dehydrogenase subunit H
Potri.004G152400	High Expression	NA	Phosphatidylinositol 3- and 4-kinase family protein
Potri.014G186500	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.001G179500	NA	Medium Expression	structural molecules
Potri.008G220000	NA	Not Expressed	NADH dehydrogenase 5B
Potri.012G132800	NA	Not Expressed	unknown
Potri.014G086900	Low Expression	NA	receptor-like protein kinase 4
Potri.011G009800	Low Expression	NA	ERD (early-responsive to dehydration stress) family protein
Potri.011G102700	NA	Low Expression	Leucine-rich repeat protein kinase family protein
Potri.001G168100	Medium Expression	Medium Expression	ARM repeat superfamily protein
Potri.018G023900	NA	Medium Expression	TOPLESS-related 1
Potri.013G098800	Low Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.003G033400	Low Expression	NA	Chaperone protein htpG family protein
Potri.017G052100	Low Expression	Medium Expression	UDP-glucosyl transferase 85A2
Potri.001G065700	Not Expressed	Not Expressed	unknown
Potri.001G029500	Low Expression	NA	nudix hydrolase homolog 16
Potri.014G140600	NA	Low Expression	Heavy metal transport/detoxification superfamily protein
Potri.T010000	Not Expressed	NA	Leucine-rich repeat transmembrane protein kinase
Potri.001G083400	Medium Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.007G095900	Not Expressed	NA	ABC-2 type transporter family protein
Potri.014G187700	Not Expressed	NA	zinc ion binding;nucleic acid binding
Potri.012G047500	Low Expression	NA	structural constituent of ribosome
Potri.016G116100	Medium Expression	Medium Expression	SGNH hydrolase-type esterase superfamily protein
Potri.001G451100	NA	High Expression	O-methyltransferase 1
Potri.009G007800	High Expression	NA	ABC transporter family protein
Potri.006G169400	NA	High Expression	voltage dependent anion channel 4
Potri.006G228700	Low Expression	NA	Alkaline phytoceramidase (aPHC)
Potri.001G193400	NA	Medium Expression	unknown
Potri.002G240200	Medium Expression	NA	formin homology 1
Potri.012G048700	High Expression	NA	don-glucosyltransferase 1
Potri.013G076200	High Expression	NA	Ribosomal protein S5 family protein
Potri.010G048700	Medium Expression	NA	sphere organelles protein-related
Potri.010G014200	Medium Expression	Medium Expression	ARM repeat superfamily protein
Potri.016G096800	NA	Medium Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.013G139100	Not Expressed	Not Expressed	unknown
Potri.009G043000	NA	Not Expressed	unknown
Potri.013G074700	Not Expressed	Not Expressed	NAD(P)H dehydrogenase subunit H
Potri.019G040100	Low Expression	NA	polyribonucleotide nucleotidyltransferase, putative
Potri.004G113700	High Expression	NA	general transcription factor II H2
Potri.004G230300	Medium Expression	NA	AAA-type ATPase family protein
Potri.003G028000	High Expression	NA	unknown
Potri.014G174700	High Expression	NA	formin homology 1
Potri.011G025700	NA	High Expression	Oligosaccharyltransferase complex/magnesium transporter family protein
Potri.002G211500	Not Expressed	Not Expressed	unknown
Potri.010G180500	Medium Expression	Medium Expression	UDP-galactose transporter 6
Potri.006G170700	NA	Medium Expression	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Potri.005G085400	Medium Expression	NA	chloroplast-localized ISCA-like protein
Potri.014G145600	Medium Expression	NA	unknown
Potri.011G015900	NA	High Expression	Phosphofructokinase family protein
Potri.011G107300	NA	High Expression	unknown
Potri.006G216900	NA	High Expression	HOPM interactor 7
Potri.001G352000	Medium Expression	NA	unknown
Potri.002G208100	Medium Expression	Medium Expression	B-box type zinc finger protein with CCT domain
Potri.004G129900	High Expression	NA	Phosphoglycerate mutase-like family protein
Potri.017G058300	Medium Expression	NA	RNA recognition motif (RRM)-containing protein
Potri.007G034000	Not Expressed	NA	unknown
Potri.005G052700	Not Expressed	NA	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
Potri.003G057300	Not Expressed	NA	pleiotropic drug resistance 12
Potri.013G142400	Not Expressed	Not Expressed	DNA-directed RNA polymerase family protein
Potri.005G225200	Low Expression	Low Expression	Rho termination factor
Potri.012G038500	NA	Low Expression	homeodomain GLABROUS 11
Potri.019G022700	NA	Medium Expression	Haem oxygenase-like, multi-helical
Potri.016G084400	High Expression	NA	Ribosomal protein L4/L1 family
Potri.017G039100	High Expression	NA	ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding
Potri.004G192800	Not Expressed	Not Expressed	Structural maintenance of chromosomes (SMC) family protein
Potri.006G152100	Medium Expression	NA	CwfJ-like family protein / zinc finger (CCCH-type) family protein
Potri.008G186300	NA	Not Expressed	DORNROSCHEN-like
Potri.001G224600	Not Expressed	NA	C2H2 type zinc finger transcription factor family
Potri.013G029100	Low Expression	NA	Calcium-dependent phospholipid-binding Copine family protein
Potri.005G069200	NA	Low Expression	Glycosyl hydrolase family 35 protein
Potri.006G154300	Medium Expression	NA	Protein of unknown function (DUF1644)
Potri.010G033600	Not Expressed	Not Expressed	unknown
Potri.002G211600	Not Expressed	Not Expressed	unknown
Potri.019G028600	Not Expressed	NA	ATPase, F0 complex, subunit A protein
Potri.019G019500	NA	High Expression	Calcium-binding EF-hand family protein
Potri.012G065900	Medium Expression	Medium Expression	unknown
Potri.001G062700	NA	Not Expressed	RING finger protein
Potri.019G103000	High Expression	NA	Protein of unknown function (DUF789)
Potri.010G001700	High Expression	High Expression	Nucleotide-sugar transporter family protein
Potri.002G116600	Medium Expression	Low Expression	ARM repeat superfamily protein
Potri.017G088300	Medium Expression	NA	WRKY DNA-binding protein 3
Potri.019G031800	NA	Not Expressed	Tryptophan/tyrosine permease
Potri.002G208600	NA	Not Expressed	unknown
Potri.019G119500	Medium Expression	NA	Outer arm dynein light chain 1 protein
Potri.005G159300	NA	High Expression	auxin F-box protein 5
Potri.001G214700	Medium Expression	NA	Plant-specific transcription factor YABBY family protein
Potri.017G067900	NA	Not Expressed	Protein kinase superfamily protein
Potri.001G258400	Low Expression	Not Expressed	CCCH-type zinc finger protein with ARM repeat domain
Potri.017G140500	Low Expression	Low Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.004G193300	Medium Expression	Low Expression	Protein kinase superfamily protein
Potri.011G004200	Low Expression	NA	Galactosyltransferase family protein
Potri.015G051300	Not Expressed	NA	NADH dehydrogenase 5B
